classe,page,de,en
8,157,Hallo. / Servus.,Hello.
8,157,"Freut mich, dich/euch/Sie kennenzulernen.",Nice to meet you.
8,157,"nett, schön",nice
8,157,kennenlernen; (sich) treffen,(to) meet
8,157,du; dich; dir; ihr; euch; Sie; Ihnen,you
8,157,ich bin,I’m (= I am)
8,157,hungrig,hungry
8,157,vorsichtig,careful
8,157,eine Möwe,a seagull
8,157,es ist (bei Sachen und Tieren auch: er ist; sie ist),it’s (= it is)
8,157,"der, die, das",the
8,157,Wie heißt du? (wörtlich: Was ist dein Name?),What’s your name?
8,157,das Jahr; der Jahrgang,year
8,157,alt,old
8,157,Wie alt bist du?,How old are you?
8,157,Wo kommst du her?,Where are you from?
8,157,mögen,(to) like
8,157,der Fußball,football
8,157,du bist; ihr seid; Sie sind,you’re (= you are)
8,157,danke (schön),"thank you, thanks"
8,157,die Farbe,colour
8,157,und,and
8,157,richtig,right
8,157,False,wrong
8,157,Und du? / Was ist mit dir?,What about you?
8,157,die Klasse; der Unterricht; der Kurs,class
8,157,auch,too
8,157,Tschüs.,Bye.
8,157,Auf Wiedersehen. / Servus.,Goodbye.
8,157,der Urlaub; die Ferien,holiday(s)
8,157,auf dem Bild,in the picture
8,157,"die Mama, die Mutti",mum
8,157,"der Papa, der Vati",dad
8,157,Leos Mama/Mutti,Leo’s mum
8,157,das Tier,animal
8,157,das Getränk,drink
8,157,"das Ding, die Sache",thing
8,157,essen; fressen,(to) eat
8,157,Dinge zum Essen,things to eat
8,157,"andere(r, s)",other
8,157,hier; hierher,here
8,157,ich kann … sehen,I can see…
8,157,ich kann … nicht sehen,I can’t (= cannot) see …
8,157,sich erinnern an; daran denken; nicht vergessen,(to) remember
8,157,der Hund,dog
8,157,Wie geht’s? / Wie geht es dir/euch/Ihnen?,How are you?
8,157,Mir/Leo geht es gut.,I’m fine. / Leo is fine.
8,157,ich bin nicht …; ich bin kein/e …,I’m not …
8,157,so gut,so good
8,157,über mich/dich/...,about me/you/...
8,157,mein/e,my
8,157,das Lieblingstier,favourite animal
8,157,es ist … / es gibt …,there’s (= there is)
8,157,es sind … / es gibt …,there are
8,157,die Katze,cat
8,157,ein Elefant,an elephant
8,157,das Pferd,horse
8,157,der Löwe,lion
8,157,der Affe,monkey
8,157,der Papagei,parrot
8,157,die Schlange,snake
8,157,"der Fisch, die Fische","fish, pl fish"
8,157,das Hobby,hobby
8,157,der Sport; die Sportart,sport
8,157,(sich etwas) anhören; zuhören,(to) listen (to)
8,157,die Musik,music
8,157,zeichnen,(to) draw
8,157,tanzen,(to) dance
8,157,schwimmen,(to) swim
8,157,das Foto,photo
8,157,Fotos machen,(to) take photos
8,157,"lieben, sehr mögen",(to) love
8,157,Ich mag Fußball nicht. / Ich mag keinen Fußball.,I don’t like football.
8,157,die Gitarre,guitar
8,157,das Fahrrad,bike
8,157,"die (Schirm-)Mütze, die Kappe",cap
8,157,die Kette,chain
8,157,das Buch,book
8,157,"das Handy, das Telefon",phone
8,157,der (Tret-)Roller,scooter
8,157,klein,small
8,157,neu,new
8,157,groß,big
8,157,"dies; diese(r, s)",this
8,157,das Gold; goldfarben,gold
8,157,das Silber; silberfarben,silver
8,157,mit; bei,with
8,157,lesen,(to) read
8,157,"(etwas wohin) tun, legen, stellen, stecken",(to) put
8,157,"der Hut, die Mütze",hat
8,157,singen,(to) sing
8,157,Tut mir leid. / Entschuldigung.,Sorry. / I’m sorry.
8,157,das (dort),that
8,157,"fertig, bereit",ready
8,157,für,for
8,157,die Schule,school
8,157,bitte,please
8,157,"ruhig, still, leise",quiet
8,157,aufstehen,(to) stand up
8,157,sich hinsetzen,(to) sit down
8,157,jn. anschauen; sich etwas anschauen,(to) look at sb./sth.
8,157,öffnen; aufschlagen (Buch),(to) open
8,157,die Hand / die Hände hochstrecken,(to) put your hand(s) up
8,157,programmieren (Computer); kodieren,(to) code
8,157,das Programmieren,coding
8,157,der Code; die Vorwahl(nummer),code (noun)
8,157,"(zu Fuß) gehen, wandern",(to) walk
8,157,das Wandern,walking
8,157,der Spaziergang,walk (noun)
8,157,kochen,(to) cook
8,157,"der Schüler, die Schülerin; der Student, die Studentin",student
8,157,an; in; bei; auf,at
8,157,aber,but
8,157,die Zeit; die Uhrzeit,time
8,157,"der Freund, die Freundin",friend
8,157,... sind Freunde/Freundinnen.,... are friends.
8,157,"beschäftigt sein, (viel) zu tun haben",(to) be busy
8,157,müde,tired
8,157,die Krawatte,tie
8,157,Angst haben (vor),(to) be scared (of)
8,157,von,of
8,157,die (Schul-)Uniform,(school) uniform
8,157,gleich; derselbe/dieselbe/dasselbe/dieselben,the same
8,157,wissen; kennen,(to) know
8,157,britisch,British
8,157,haben,(to) have
8,157,oft,often
8,157,großartig; toll,great
8,157,schrecklich,horrible
8,157,der Klebestift,glue stick
8,157,das Federmäppchen,pencil case
8,157,"der Kugelschreiber, der Stift; der Füller",pen
8,157,das Radiergummi,rubber
8,157,der Bleistift(an)spitzer,pencil sharpener
8,157,"das Schulheft, das Übungsheft",exercise book
8,157,Englisch; englisch,English
8,157,der Apfel,apple
8,157,das Lineal,ruler
8,157,der Schreibtisch,desk
8,157,verschieden; anders (als),different (to)
8,157,Herr Lee,Mr Lee
8,157,"der Lehrer, die Lehrerin",teacher
8,157,Ich habe mich verspätet.,I’m late.
8,157,Verspäte dich nicht.,Don’t be late.
8,157,"wieder, noch einmal",again
8,157,das Fenster,window
8,157,ja,yes
8,157,gehen; fahren,(to) go
8,157,"zu, nach",to
8,157,die Toilette,toilet
8,157,"nun, jetzt",now
8,157,(mit)nehmen; bringen,(to) take
8,157,sagen,(to) say
8,157,"sprechen, reden (mit)",(to) talk (to)
8,157,Lass uns … / Lasst uns …,"Let’s …, Let us …"
8,157,uns,us
8,157,"beginnen, anfangen (mit)",(to) start
8,157,"erste(r, s)",first
8,157,die weiterführende Schule,secondary school
8,157,im Unterricht,in class
8,157,Welche Seite …?,What page …?
8,157,die (Buch-/Heft-)Seite,page (p.)
8,157,verstehen,(to) understand
8,157,helfen,(to) help
8,157,die Frage,question
8,157,die Antwort,answer
8,157,die Antwort auf die Frage,the answer to the question
8,157,"benutzen, verwenden",(to) use
8,157,"Bitte schön. / Hier, bitte.",Here you are.
8,157,"Bitte, gern geschehen. / Nichts zu danken.",You’re welcome.
8,157,fragen,(to) ask
8,157,das Klassenzimmer,classroom
8,157,der Stundenplan,timetable
8,157,die (Unterrichts-)Stunde,lesson
8,157,sie sind,they’re (= they are)
8,157,sie sind nicht,they aren’t
8,157,"der Raum, das Zimmer",room
8,157,schlafen,(to) be asleep
8,157,er ist,he’s (= he is)
8,157,er ist nicht,he isn’t (= he is not)
8,157,"denken, meinen, glauben",(to) think
8,157,Recht haben,(to) be right
8,157,wir sind,we’re (= we are)
8,157,alle(s),all
8,157,die Pause,break
8,157,bald,soon
8,157,die Minute,minute
8,157,sie ist,she’s (= she is)
8,157,"die Leute, die Menschen",people (pl)
8,157,nach der ersten Unterrichtsstunde / nach der Schule,after lesson 1 / after school
8,157,das Mädchen,girl
8,157,der Junge,boy
8,157,"die Nachricht, die Mitteilung",message
8,157,Glück haben,(to) be lucky
8,157,Bis dann. / Tschüs.,See you.
8,157,der Tag,day
8,157,die Woche,week
8,157,am Montag,on Monday
8,157,das (Schul-)Fach,subject
8,157,die Schulversammlung,assembly
8,157,die Geschichte (vergangene Zeiten),history
8,157,"die Geografie, die Erdkunde",geography
8,157,das Mittagessen,lunch
8,157,die Mathe(matik),maths
8,157,die Naturwissenschaft,science
8,157,Französisch; französisch,French
8,157,"das Werken, der Werkunterricht",design and technology
8,157,die Informatik,computing
8,157,der (Schul-)Sport,PE (physical education)
8,157,die Biologie,biology
8,157,weil,because
8,157,"schwer, schwierig; hart",hard
8,157,deutsch; Deutsch; Deutsche/r,German
8,157,"der Ort, der Platz",place
8,157,allein,alone
8,157,unser/e,our
8,157,die Tasche,bag
8,157,"die Kantine, die (Schul-)Mensa",canteen
8,157,der Korridor,corridor
8,157,"die Landkarte, der Stadtplan",map
8,157,das Gebäude,building
8,157,"die Halle, der Saal",hall
