classe,page,de,en
9,158,Hallo. / Servus.,Hello.
9,158,"Freut mich, dich/euch/Sie kennenzulernen.",Nice to meet you.
9,158,"nett, schön",nice
9,158,kennenlernen; (sich) treffen,(to) meet
9,158,du; dich; dir; ihr; euch; Sie; Ihnen,you
9,158,ich bin,I’m (= I am)
9,158,hungrig,hungry
9,158,vorsichtig,careful
9,158,eine Möwe,a seagull
9,158,es ist (bei Sachen und Tieren auch: er ist; sie ist),it’s (= it is)
9,158,"der, die, das",the
9,158,Wie heißt du? (wörtlich: Was ist dein Name?),What’s your name?
9,158,das Jahr; der Jahrgang,year
9,158,alt,old
9,158,Wie alt bist du?,How old are you?
9,158,Wo kommst du her?,Where are you from?
9,158,mögen,(to) like
9,158,der Fußball,football
9,158,du bist; ihr seid; Sie sind,you’re (= you are)
9,158,danke (schön),"thank you, thanks"
9,158,die Farbe,colour
9,158,und,and
9,158,richtig,right
9,158,False,wrong
9,158,Und du? / Was ist mit dir?,What about you?
9,158,die Klasse; der Unterricht; der Kurs,class
9,158,auch,too
9,158,Tschüs.,Bye.
9,158,Auf Wiedersehen. / Servus.,Goodbye.
9,158,der Urlaub; die Ferien,holiday(s)
9,158,auf dem Bild,in the picture
9,158,"die Mama, die Mutti",mum
9,158,"der Papa, der Vati",dad
9,158,Leos Mama/Mutti,Leo’s mum
9,158,das Tier,animal
9,158,das Getränk,drink
9,158,"das Ding, die Sache",thing
9,158,essen; fressen,(to) eat
9,158,Dinge zum Essen,things to eat
9,158,"andere(r, s)",other
9,158,hier; hierher,here
9,158,ich kann … sehen,I can see…
9,158,ich kann … nicht sehen,I can’t (= cannot) see …
9,158,sich erinnern an; daran denken; nicht vergessen,(to) remember
9,158,der Hund,dog
9,158,Wie geht’s? / Wie geht es dir/euch/Ihnen?,How are you?
9,158,Mir/Leo geht es gut.,I’m fine. / Leo is fine.
9,158,ich bin nicht …; ich bin kein/e …,I’m not …
9,158,so gut,so good
9,158,über mich/dich/...,about me/you/...
9,158,mein/e,my
9,158,das Lieblingstier,favourite animal
9,158,es ist … / es gibt …,there’s (= there is)
9,158,es sind … / es gibt …,there are
9,158,die Katze,cat
9,158,ein Elefant,an elephant
9,158,das Pferd,horse
9,158,der Löwe,lion
9,158,der Affe,monkey
9,158,der Papagei,parrot
9,158,die Schlange,snake
9,158,"der Fisch, die Fische","fish, pl fish"
9,158,das Hobby,hobby
9,158,der Sport; die Sportart,sport
9,158,(sich etwas) anhören; zuhören,(to) listen (to)
9,158,die Musik,music
9,158,zeichnen,(to) draw
9,158,tanzen,(to) dance
9,158,schwimmen,(to) swim
9,158,das Foto,photo
9,158,Fotos machen,(to) take photos
9,158,"lieben, sehr mögen",(to) love
9,158,Ich mag Fußball nicht. / Ich mag keinen Fußball.,I don’t like football.
9,158,die Gitarre,guitar
9,158,das Fahrrad,bike
9,158,"die (Schirm-)Mütze, die Kappe",cap
9,158,die Kette,chain
9,158,das Buch,book
9,158,"das Handy, das Telefon",phone
9,158,der (Tret-)Roller,scooter
9,158,klein,small
9,158,neu,new
9,158,groß,big
9,158,"dies; diese(r, s)",this
9,158,das Gold; goldfarben,gold
9,158,das Silber; silberfarben,silver
9,158,mit; bei,with
9,158,lesen,(to) read
9,158,"(etwas wohin) tun, legen, stellen, stecken",(to) put
9,158,"der Hut, die Mütze",hat
9,158,singen,(to) sing
9,158,Tut mir leid. / Entschuldigung.,Sorry. / I’m sorry.
9,158,das (dort),that
9,158,"fertig, bereit",ready
9,158,für,for
9,158,die Schule,school
9,158,bitte,please
9,158,"ruhig, still, leise",quiet
9,158,aufstehen,(to) stand up
9,158,sich hinsetzen,(to) sit down
9,158,jn. anschauen; sich etwas anschauen,(to) look at sb./sth.
9,158,öffnen; aufschlagen (Buch),(to) open
9,158,die Hand / die Hände hochstrecken,(to) put your hand(s) up
9,158,programmieren (Computer); kodieren,(to) code
9,158,das Programmieren,coding
9,158,der Code; die Vorwahl(nummer),code (noun)
9,158,"(zu Fuß) gehen, wandern",(to) walk
9,158,das Wandern,walking
9,158,der Spaziergang,walk (noun)
9,158,kochen,(to) cook
9,158,"der Schüler, die Schülerin; der Student, die Studentin",student
9,158,an; in; bei; auf,at
9,158,aber,but
9,158,die Zeit; die Uhrzeit,time
9,158,"der Freund, die Freundin",friend
9,158,... sind Freunde/Freundinnen.,... are friends.
9,158,"beschäftigt sein, (viel) zu tun haben",(to) be busy
9,158,müde,tired
9,158,die Krawatte,tie
9,158,Angst haben (vor),(to) be scared (of)
9,158,von,of
9,158,die (Schul-)Uniform,(school) uniform
9,158,gleich; derselbe/dieselbe/dasselbe/dieselben,the same
9,158,wissen; kennen,(to) know
9,158,britisch,British
9,158,haben,(to) have
9,158,oft,often
9,158,großartig; toll,great
9,158,schrecklich,horrible
9,158,der Klebestift,glue stick
9,158,das Federmäppchen,pencil case
9,158,"der Kugelschreiber, der Stift; der Füller",pen
9,158,das Radiergummi,rubber
9,158,der Bleistift(an)spitzer,pencil sharpener
9,158,"das Schulheft, das Übungsheft",exercise book
9,158,Englisch; englisch,English
9,158,der Apfel,apple
9,158,das Lineal,ruler
9,158,der Schreibtisch,desk
9,158,verschieden; anders (als),different (to)
9,158,Herr Lee,Mr Lee
9,158,"der Lehrer, die Lehrerin",teacher
9,158,Ich habe mich verspätet.,I’m late.
9,158,Verspäte dich nicht.,Don’t be late.
9,158,"wieder, noch einmal",again
9,158,das Fenster,window
9,158,ja,yes
9,158,gehen; fahren,(to) go
9,158,"zu, nach",to
9,158,die Toilette,toilet
9,158,"nun, jetzt",now
9,158,(mit)nehmen; bringen,(to) take
9,158,sagen,(to) say
9,158,"sprechen, reden (mit)",(to) talk (to)
9,158,Lass uns … / Lasst uns …,"Let’s …, Let us …"
9,158,uns,us
9,158,"beginnen, anfangen (mit)",(to) start
9,158,"erste(r, s)",first
9,158,die weiterführende Schule,secondary school
9,158,im Unterricht,in class
9,158,Welche Seite …?,What page …?
9,158,die (Buch-/Heft-)Seite,page (p.)
9,158,verstehen,(to) understand
9,158,helfen,(to) help
9,158,die Frage,question
9,158,die Antwort,answer
9,158,die Antwort auf die Frage,the answer to the question
9,158,"benutzen, verwenden",(to) use
9,158,"Bitte schön. / Hier, bitte.",Here you are.
9,158,"Bitte, gern geschehen. / Nichts zu danken.",You’re welcome.
9,158,fragen,(to) ask
9,158,das Klassenzimmer,classroom
9,158,der Stundenplan,timetable
9,158,die (Unterrichts-)Stunde,lesson
9,158,sie sind,they’re (= they are)
9,158,sie sind nicht,they aren’t
9,158,"der Raum, das Zimmer",room
9,158,schlafen,(to) be asleep
9,158,er ist,he’s (= he is)
9,158,er ist nicht,he isn’t (= he is not)
9,158,"denken, meinen, glauben",(to) think
9,158,Recht haben,(to) be right
9,158,wir sind,we’re (= we are)
9,158,alle(s),all
9,158,die Pause,break
9,158,bald,soon
9,158,die Minute,minute
9,158,sie ist,she’s (= she is)
9,158,"die Leute, die Menschen",people (pl)
9,158,nach der ersten Unterrichtsstunde / nach der Schule,after lesson 1 / after school
9,158,das Mädchen,girl
9,158,der Junge,boy
9,158,"die Nachricht, die Mitteilung",message
9,158,Glück haben,(to) be lucky
9,158,Bis dann. / Tschüs.,See you.
9,158,der Tag,day
9,158,die Woche,week
9,158,am Montag,on Monday
9,158,das (Schul-)Fach,subject
9,158,die Schulversammlung,assembly
9,158,die Geschichte (vergangene Zeiten),history
9,158,"die Geografie, die Erdkunde",geography
9,158,das Mittagessen,lunch
9,158,die Mathe(matik),maths
9,158,die Naturwissenschaft,science
9,158,Französisch; französisch,French
9,158,"das Werken, der Werkunterricht",design and technology
9,158,die Informatik,computing
9,158,der (Schul-)Sport,PE (physical education)
9,158,die Biologie,biology
9,158,weil,because
9,158,"schwer, schwierig; hart",hard
9,158,deutsch; Deutsch; Deutsche/r,German
9,158,"der Ort, der Platz",place
9,158,allein,alone
9,158,unser/e,our
9,158,die Tasche,bag
9,158,"die Kantine, die (Schul-)Mensa",canteen
9,158,der Korridor,corridor
