Franzoesisch;Deutsch
le/la/les/un/une/des;die/der, das, des, eine, ein, die
Bienvenue !;Willkommen!
dans le quartier;im Viertel
alors;also
mon ami/mon amie;mein Freund/meine Freundin
ce sont;das sind
avec;mit
elle s'appelle;sie heisst
il s'appelle;er heisst
merci;danke
cool adj. f/m;cool
on cherche;wir suchen
On cherche des corres;Wir suchen Korrespondenten
être;sein
je suis;ich bin
tu es;du bist
nous sommes;wir sind
vous êtes;ihr seid
ils/elles sont;sie sind
la rue (f);die Strasse
