"Franzoesisch","Deutsch"
"il y a","es gibt"
"un/une","eine, ein"
"des","Plural von un und une"
"le supermarché (m)","der Supermarkt"
"le cinéma (m)","das Kino"
"la piscine (f)","das Schwimmbad, der Pool"
"la boulangerie (f)","die Baeckerei"
"la gare (f)","der Bahnhof"
"le parc (m)","der Park"
"le centre commercial (m)","das Einkaufszentrum"
"le magasin (m)","das Geschaeft, der Laden"
"le café (m)","das Cafe"
"le restaurant (m)","das Restaurant"
"le métro (m)","die U-Bahn, die Metro"
"le pont (m)","die Bruecke"
"la Seine (f)","die Seine (Fluss)"
"mon endroit prefere (m)","mein Lieblingsort"
"la cathédrale (f)","die Kathedrale, der Dom"
"par exemple/p. ex.","zum Beispiel/z. B."
"pour","fuer"
"le choix (m)","die Wahl"
"le fan (m)","der Fan"
