"Franzoesisch","Deutsch"
"l'argent de poche (m)","das Taschengeld"
"l'ordinateur (m)","der Computer"
"le portable (m)","das Handy"
"le jeu (m)","das Spiel"
"la tablette (f)","das Tablet"
"le magazine (m)","die Zeitschrift"
"le journal (m)","die Zeitung"
"le livre (m)","das Buch"
"le CD (m)","die CD"
"le DVD (m)","die DVD"
"le billet (m)","die Fahrkarte"
"le musee (m)","das Museum"
"la place (f)","der Platz"
"la sortie (f)","der Ausgang"
"le temps (m)","die Zeit"
"il faut (v)","man muss"
"il faut du temps","es braucht Zeit"
"il n'est pas necessaire de faire qc","es ist nicht noetig, etw. zu tun"
"la plupart de (quant)","die meisten"
"la consommation (f)","der Konsum"
"la publicite (f)","die Werbung"
