"Franzoesisch","Deutsch"
"l'emploi du temps (m)","der Stundenplan"
"le lundi (m)","montags, jeden Montag"
"les maths (m, pl)","Mathematik"
"le cours (m) de maths","der Mathematikkurs"
"la physique (f)","Physik"
"le français (m)","Franzoesisch"
"l'allemand (m)","Deutsch"
"l'anglais (m)","Englisch"
"la musique (f)","Musik"
"l'histoire (f)","die Geschichte"
"la géographie (f)","die Geografie"
"l'EPS (f)","Sport"
"la SVT (f)","Biologie"
"les arts plastiques (m, pl)","Kunst"
"Quelle chance!","Was fuer ein Glueck!"
"C'est parfait!","Das ist perfekt!"
"C'est nul!","Das ist doof!"
