"Franzoesisch","Deutsch"
"le musée (m)","das Museum"
"le musée du Quai Branly (m)","das Quai Branly Museum"
"Montmartre (m)","Montmartre"
"le spectacle (m)","die Auffuehrung"
"le big bus (m)","der Big Bus"
"le Centre Georges Pompidou (m)","das Centre Georges Pompidou"
"faire du shopping (loc)","shoppen, einkaufen"
"les Halles (f, pl)","die Halles"
"le musée du Louvre (m)","das Louvre Museum"
"manquer une glace chez","ein Eis essen bei"
"faire une tour à vélo","eine Fahrradtour machen"
"faire une balade en bateau-mouche","eine Fahrt mit dem Bateau-Mouche machen"
"faire une promenade sur l'île de la Cité","einen Spaziergang auf der Île de la Cité machen"
"monter la tour Eiffel","auf den Eiffelturm steigen"
