classe,page,de,en
Klasse 6 G-Kurs,170,besser abschneiden,do better
Klasse 6 G-Kurs,170,besuchen,visit
Klasse 6 G-Kurs,170,Weg,way
Klasse 6 G-Kurs,170,"Entschuldigung, …","Excuse me, …"
Klasse 6 G-Kurs,170,jn. den Weg beschreiben,tell sb. the way
Klasse 6 G-Kurs,170,jn. nach dem Weg fragen,ask sb. the way
Klasse 6 G-Kurs,170,überqueren,cross
Klasse 6 G-Kurs,170,(nach) rechts/links abbiegen,turn right/left
Klasse 6 G-Kurs,170,die Straße entlang,along the street
Klasse 6 G-Kurs,170,100 Meter weit,for 100 metres
Klasse 6 G-Kurs,170,am Geschäft vorbei,past the shop
Klasse 6 G-Kurs,170,Vielen Dank.,Thanks very much.
Klasse 6 G-Kurs,170,Bank (Geldinstitut),bank
Klasse 6 G-Kurs,170,Rolle Toilettenpapier,toilet roll
Klasse 6 G-Kurs,170,(großes Freuden-)Feuer,bonfire
Klasse 6 G-Kurs,170,"beenden, enden",finish
Klasse 6 G-Kurs,170,essen: wir aßen; wir haben gegessen,eat: we ate
Klasse 6 G-Kurs,170,Kartoffel,"potato, pl potatoes"
Klasse 6 G-Kurs,170,jung,young
Klasse 6 G-Kurs,170,Laterne,lantern
Klasse 6 G-Kurs,170,feiern,celebrate
Klasse 6 G-Kurs,170,singen: wir sangen; wir haben gesungen,sing: we sang
Klasse 6 G-Kurs,170,warm,warm
Klasse 6 G-Kurs,170,Puzzle,jigsaw
Klasse 6 G-Kurs,170,"schließlich, zum Schluss",in the end
