classe;page;de;en
7;142;etw. korrigieren;None
7;142;der Fehler;None
7;142;60;None
7;142;noch nicht;None
7;142;Mir ist kalt;None
7;142;ich kann;None
7;142;ich lerne etw.;None
7;142;das Hockey;None
7;142;die Chemie;None
7;142;schliessen;None
7;142;hallo;None
7;142;der Test;None
7;142;unsere Klassenkameraden;None
7;142;ihr werdet arbeiten;None
7;142;die Gruppe;None
7;142;das Rugby;None
7;142;in der Gruppe;None
7;142;das Thema;None
7;142;die Strafarbeit;None
7;142;die Familie;None
7;142;ich kann mich setzen neben;None
7;142;hinten;None
