"Franzoesisch","Deutsch"
"il dit/elle dit que","er/sie sagt, dass"
"le meilleur/la meilleure (m/f)","der/die Beste"
"le joueur/la joueuse (m/f)","der/die Spieler/in"
"le jeu (m)","das Spiel"
"motiver (v)","motivieren"
"la competition (f)","der Wettbewerb"
"l'equipe (f)","die Mannschaft"
"le succes (m)","der Erfolg"
"copain/copine (m/f)","Freund/Freundin"
"l'allemand (m)","Deutschland"
"apprendre qc (v)","etw. lernen"
"penser (v)","denken"
"penser que (v)","denken, dass"
"leur (pos)","ihr"
"ca depend","das kommt darauf an"
"adorer qc (v)","etw. lieben"
"le plaisir (m)","die Freude"
"ce qui compte (m)","das ist, was zaehlt"
"sans (prep)","ohne"
"avec (prep)","mit"
