classe,page,de,en
Klasse 9 E-Kurs,220,(sich) qualifizieren,qualify
Klasse 9 E-Kurs,220,qualifiziert; ausgebildet; mit Abschluss,qualified
Klasse 9 E-Kurs,220,Arbeitszeiten,working hours
Klasse 9 E-Kurs,220,sich bewerben (um),apply (for)
Klasse 9 E-Kurs,220,Friseur/in; (Mode-) Stylist/in,stylist
Klasse 9 E-Kurs,220,bis (zu),up to
Klasse 9 E-Kurs,220,Lebenslauf,CV (curriculum vitae)
Klasse 9 E-Kurs,220,Kommunikation; Verstaendigung,communication
Klasse 9 E-Kurs,220,Bezahlung; Lohn,pay
Klasse 9 E-Kurs,220,Auszubildende(r); Trainee,trainee
Klasse 9 E-Kurs,220,Schulabschluss; Qualifikation,qualification
Klasse 9 E-Kurs,220,30 Jahre alt,30 years of age
Klasse 9 E-Kurs,220,Helfer/in; Assistent/in,assistant
Klasse 9 E-Kurs,220,Versorgung; Betreuung,care
Klasse 9 E-Kurs,220,Schicht; Dienst,shift
Klasse 9 E-Kurs,220,jederzeit; staendig,at all times
Klasse 9 E-Kurs,220,Pflicht; Aufgabe; Dienst,duty
Klasse 9 E-Kurs,220,im Freien; draussen,outdoors
Klasse 9 E-Kurs,220,Eigenschaft; Qualitaet,quality
Klasse 9 E-Kurs,220,abenteuerlustig,adventurous
